,Dataset,# People,Modelos,NMI,cluster alg,multiview,vgg,resnet,senet
147,celeba,50,S vgg16 kmeans,0.7823904930589841,kmeans,S,True,True,True
148,celeba,50,S vgg16 kmeans,0.7886018879813126,kmeans,S,True,True,True
149,celeba,50,S vgg16 kmeans,0.8374080030725307,kmeans,S,True,True,True
150,celeba,50,S vgg16 kmeans,0.843609044408516,kmeans,S,True,True,True
151,celeba,50,S vgg16 kmeans,0.8096907397798273,kmeans,S,True,True,True
152,celeba,50,S vgg16 kmeans,0.7965662274383163,kmeans,S,True,True,True
153,celeba,50,S vgg16 kmeans,0.8009353130801521,kmeans,S,True,True,True
154,celeba,50,S vgg16 kmeans,0.8275596713363669,kmeans,S,True,True,True
155,celeba,50,S vgg16 kmeans,0.8483421187271314,kmeans,S,True,True,True
156,celeba,50,S vgg16 kmeans,0.7971866769507524,kmeans,S,True,True,True
157,celeba,50,S vgg16 kmeans,0.8460322606904046,kmeans,S,True,True,True
158,celeba,50,S vgg16 kmeans,0.825705024368769,kmeans,S,True,True,True
159,celeba,50,S vgg16 kmeans,0.7910801428245633,kmeans,S,True,True,True
160,celeba,50,S vgg16 kmeans,0.8034325966144296,kmeans,S,True,True,True
161,celeba,50,S vgg16 kmeans,0.7754220838836732,kmeans,S,True,True,True
162,celeba,50,S vgg16 kmeans,0.8012103676228769,kmeans,S,True,True,True
163,celeba,50,S vgg16 kmeans,0.8330080303910378,kmeans,S,True,True,True
164,celeba,50,S vgg16 kmeans,0.8360664140909516,kmeans,S,True,True,True
165,celeba,50,S vgg16 kmeans,0.7860009856198842,kmeans,S,True,True,True
166,celeba,50,S vgg16 kmeans,0.8100648202262452,kmeans,S,True,True,True
167,celeba,50,S vgg16 kmeans,0.8082033368390411,kmeans,S,True,True,True
168,celeba,50,S vgg16 kmeans,0.8175201849799161,kmeans,S,True,True,True
169,celeba,50,S vgg16 kmeans,0.8237984708661454,kmeans,S,True,True,True
170,celeba,50,S vgg16 kmeans,0.8079136581517885,kmeans,S,True,True,True
171,celeba,50,S vgg16 kmeans,0.8406348694610253,kmeans,S,True,True,True
172,celeba,50,S vgg16 kmeans,0.7954369256025408,kmeans,S,True,True,True
173,celeba,50,S vgg16 kmeans,0.7862881248396685,kmeans,S,True,True,True
174,celeba,50,S vgg16 kmeans,0.8096234955990612,kmeans,S,True,True,True
175,celeba,50,S vgg16 kmeans,0.8010180700719792,kmeans,S,True,True,True
176,celeba,50,S vgg16 kmeans,0.7631778331004876,kmeans,S,True,True,True
177,celeba,50,S vgg16 kmeans,0.80328139179043,kmeans,S,True,True,True
178,celeba,50,S vgg16 kmeans,0.8175850852532985,kmeans,S,True,True,True
179,celeba,50,S vgg16 kmeans,0.7629493867134242,kmeans,S,True,True,True
180,celeba,50,S vgg16 kmeans,0.825140567872011,kmeans,S,True,True,True
181,celeba,50,S vgg16 kmeans,0.8217149567525701,kmeans,S,True,True,True
182,celeba,50,S vgg16 kmeans,0.8168075791328209,kmeans,S,True,True,True
183,celeba,50,S vgg16 kmeans,0.8234308246995485,kmeans,S,True,True,True
184,celeba,50,S vgg16 kmeans,0.8396010355160758,kmeans,S,True,True,True
185,celeba,50,S vgg16 kmeans,0.7812764773221158,kmeans,S,True,True,True
186,celeba,50,S vgg16 kmeans,0.7665112651564352,kmeans,S,True,True,True
187,celeba,50,S vgg16 kmeans,0.7720462182744113,kmeans,S,True,True,True
188,celeba,50,S vgg16 kmeans,0.8004412865363675,kmeans,S,True,True,True
189,celeba,50,S vgg16 kmeans,0.7985530995912873,kmeans,S,True,True,True
190,celeba,50,S vgg16 kmeans,0.8477389485390417,kmeans,S,True,True,True
191,celeba,50,S vgg16 kmeans,0.820437565188934,kmeans,S,True,True,True
192,celeba,50,S vgg16 kmeans,0.8167171567432088,kmeans,S,True,True,True
193,celeba,50,S vgg16 kmeans,0.8118182510941606,kmeans,S,True,True,True
194,celeba,50,S vgg16 kmeans,0.805039321079745,kmeans,S,True,True,True
195,celeba,50,S vgg16 kmeans,0.7585394290874574,kmeans,S,True,True,True
196,celeba,50,S vgg16 kmeans,0.7752501659617793,kmeans,S,True,True,True
197,celeba,50,S vgg16 kmeans,0.8384238865888273,kmeans,S,True,True,True
198,celeba,50,S vgg16 kmeans,0.8260599116553972,kmeans,S,True,True,True
199,celeba,50,S vgg16 kmeans,0.7686102181009954,kmeans,S,True,True,True
200,celeba,50,S vgg16 kmeans,0.7851872486872542,kmeans,S,True,True,True
201,celeba,50,S vgg16 kmeans,0.8292781279911712,kmeans,S,True,True,True
202,celeba,50,S vgg16 kmeans,0.8250644512946155,kmeans,S,True,True,True
203,celeba,50,S vgg16 kmeans,0.7981121943817341,kmeans,S,True,True,True
204,celeba,50,S vgg16 kmeans,0.7946727675246975,kmeans,S,True,True,True
205,celeba,50,S vgg16 kmeans,0.749899817828255,kmeans,S,True,True,True
206,lfw,100,S vgg16 kmeans,0.8403132046168745,kmeans,S,True,True,True
207,lfw,100,S vgg16 kmeans,0.8842046685858668,kmeans,S,True,True,True
208,lfw,100,S vgg16 kmeans,0.9173689586059182,kmeans,S,True,True,True
209,lfw,100,S vgg16 kmeans,0.8268215346952973,kmeans,S,True,True,True
210,lfw,100,S vgg16 kmeans,0.8778148817610785,kmeans,S,True,True,True
211,lfw,100,S vgg16 kmeans,0.8333685682281531,kmeans,S,True,True,True
212,lfw,100,S vgg16 kmeans,0.8367604027950751,kmeans,S,True,True,True
213,lfw,100,S vgg16 kmeans,0.7716243931849817,kmeans,S,True,True,True
214,lfw,100,S vgg16 kmeans,0.833448695566496,kmeans,S,True,True,True
215,lfw,100,S vgg16 kmeans,0.8813398809312704,kmeans,S,True,True,True
216,lfw,100,S vgg16 kmeans,0.8521560050534904,kmeans,S,True,True,True
217,lfw,100,S vgg16 kmeans,0.7652265818073691,kmeans,S,True,True,True
218,lfw,100,S vgg16 kmeans,0.861956582207016,kmeans,S,True,True,True
219,lfw,100,S vgg16 kmeans,0.8573150113039368,kmeans,S,True,True,True
220,lfw,100,S vgg16 kmeans,0.8185217730107867,kmeans,S,True,True,True
221,lfw,100,S vgg16 kmeans,0.8769108087199667,kmeans,S,True,True,True
222,lfw,100,S vgg16 kmeans,0.8539783169978723,kmeans,S,True,True,True
223,lfw,100,S vgg16 kmeans,0.8159541163311225,kmeans,S,True,True,True
224,lfw,100,S vgg16 kmeans,0.7332215342040588,kmeans,S,True,True,True
225,lfw,100,S vgg16 kmeans,0.8167650526657776,kmeans,S,True,True,True
